policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r22_m010,rolling,0.22,10,5,1.5401691331923892,0.33812885354302563,1.5344314156667003,22.112567629268593,66.387768898667,361
rolling_r22_m010,rolling,0.22,10,10,1.4590048473298256,0.2696028058261103,1.447468341776521,30.80017742226952,77.38582806243893,361
rolling_r22_m010,rolling,0.22,10,20,1.4538994492805115,0.18862255383790547,1.44595841875277,38.67572690841631,94.29462770989574,361
rolling_r22_m015,rolling,0.22,15,1,1.4217290799815072,0.5434127223394634,1.4215278187420637,3.2783272049553727,45.725011730918894,321
rolling_r22_m015,rolling,0.22,15,3,1.5506958250497016,0.3917445482866044,1.5507493981378793,12.97462995038957,56.98593858905258,321
rolling_r22_m015,rolling,0.22,15,5,1.5959528326451657,0.3376921917395237,1.5905358219474386,19.59124377870137,62.45109037116202,321
rolling_r22_m015,rolling,0.22,15,10,1.5167133520074696,0.26906843533313235,1.5038677081416807,23.430690625763727,73.56847561901708,321
rolling_r22_m015,rolling,0.22,15,20,1.6520117239541696,0.18857401266204404,1.647322315023311,38.198664388907815,94.68827491045492,321
rolling_r22_m020,rolling,0.22,20,1,1.4355033375206288,0.5438725752866788,1.434437116861265,2.039553329844701,46.38983128414809,301
rolling_r22_m020,rolling,0.22,20,3,1.5322751322751325,0.39244186046511625,1.5314063282608499,12.19912291052137,58.63113899746999,301
rolling_r22_m020,rolling,0.22,20,5,1.5702413929560743,0.3385221305326332,1.5625516995688895,20.61525879010143,66.99984626827556,301
rolling_r22_m020,rolling,0.22,20,10,1.428259358554265,0.2698263851677205,1.4169054968254158,26.417916238693604,79.77386842887262,301
rolling_r22_m020,rolling,0.22,20,20,1.424175824175824,0.18895348837209303,1.4250600790631123,36.78963850659518,102.27563392449217,301
rolling_r22_m030,rolling,0.22,30,1,1.4676171864248162,0.5445946756205781,1.4704053108006205,1.7997421535214961,49.27597820575322,269
rolling_r22_m030,rolling,0.22,30,3,1.5313309955785945,0.3932725746492385,1.5349597813786018,13.132395305645119,63.07215400863584,269
rolling_r22_m030,rolling,0.22,30,5,1.5442501324854265,0.33942918815205664,1.5380132940613587,20.581968923251722,69.55977532029003,269
rolling_r22_m030,rolling,0.22,30,10,1.4001992693457324,0.27080585202062596,1.3899357766567044,20.241509845064943,73.91483596262546,269
rolling_r22_m030,rolling,0.22,30,20,1.4099810486418194,0.18983091497781507,1.4121394045155202,24.912305242850458,96.18040540583682,269
rolling_r22_m040,rolling,0.22,40,1,1.4243868818562977,0.544229807451863,1.4251430324460181,-0.17737647568381829,45.64169107083232,258
rolling_r22_m040,rolling,0.22,40,3,1.4899339540065253,0.3928169542385596,1.4992056175187005,8.230368230422526,56.425550947493115,258
rolling_r22_m040,rolling,0.22,40,5,1.5095453287835472,0.3389284821205301,1.5112985511029027,13.621102299720157,59.87302981111417,258
rolling_r22_m040,rolling,0.22,40,10,1.4341892204487625,0.2702550637659415,1.436432533168857,17.343532976247975,73.32455176758074,258
rolling_r22_m040,rolling,0.22,40,20,1.6369636963696368,0.18942235558889725,1.6427586482948506,28.46307795931664,112.29684916208348,258
rolling_r22_m060,rolling,0.22,60,1,1.4855888348753332,0.544781984691088,1.4849620050107935,2.546007736120213,47.077685127126784,236
rolling_r22_m060,rolling,0.22,60,3,1.5931938536331278,0.39362356478950244,1.5942372546264636,9.583524284757527,52.260971034464305,236
rolling_r22_m060,rolling,0.22,60,5,1.6207520611301027,0.33987151448879166,1.6153264505516902,17.94077035167043,63.366839251014774,236
rolling_r22_m060,rolling,0.22,60,10,1.672296445676834,0.2711180973209404,1.6692480106761889,25.281399854241318,88.63844220288446,236
rolling_r22_m060,rolling,0.22,60,20,2.0527215474583893,0.18990910333515584,2.0665303109379387,39.310466438416455,141.0460790164133,236
rolling_r22_m090,rolling,0.22,90,1,1.5227383582474965,0.544714303575894,1.5236539707882535,3.134748746112818,53.36392525842889,258
rolling_r22_m090,rolling,0.22,90,3,1.6640991026760898,0.39362965741435363,1.6692477244566717,10.112608176555407,63.62453273400873,258
rolling_r22_m090,rolling,0.22,90,5,1.6762149983907306,0.339913103275819,1.682032983924342,16.771607788129042,75.45022900134174,258
rolling_r22_m090,rolling,0.22,90,10,1.6729704797047968,0.27106776694173546,1.6785248612968195,18.06064963486009,93.30072157179815,258
rolling_r22_m090,rolling,0.22,90,20,2.06326194398682,0.1897349337334334,2.0862742586595817,26.703895929424924,139.1652614827035,258
rolling_r24_m010,rolling,0.24,10,1,1.3745709889936488,0.5436899450926561,1.3720908128237341,1.6284381766201457,41.81834380541043,376
rolling_r24_m010,rolling,0.24,10,3,1.450609522768272,0.3923515785861359,1.4464965612086247,11.769975208055204,54.14088691765277,376
rolling_r24_m010,rolling,0.24,10,5,1.5248961998034927,0.33835578242965,1.516347591356241,20.2701231350271,61.57224865264807,376
rolling_r24_m010,rolling,0.24,10,10,1.4391096979332272,0.2698181194234729,1.4267703085983054,29.44606232580284,73.00421218570338,376
rolling_r24_m010,rolling,0.24,10,20,1.4522713059298424,0.18862602951269733,1.4429010064195793,38.05231145167523,92.84233439913602,376
rolling_r24_m015,rolling,0.24,15,1,1.420174246306736,0.543434563595854,1.419738675470436,3.339636169478416,45.48627978908341,333
rolling_r24_m015,rolling,0.24,15,3,1.555892078993726,0.3918071297103556,1.5550042165284013,15.132652888151792,59.1051626336622,333
rolling_r24_m015,rolling,0.24,15,5,1.6093503513552272,0.33774096677322485,1.6029672063600444,22.690807653455323,65.31033872582199,333
rolling_r24_m015,rolling,0.24,15,10,1.528178833265866,0.2692167974426039,1.5144694923707998,28.256646720121434,77.74864673106663,333
rolling_r24_m015,rolling,0.24,15,20,1.592499839465742,0.1885716361522813,1.5868338727262534,40.990355123948476,97.61797539984262,333
rolling_r24_m020,rolling,0.24,20,1,1.4445825850716028,0.5439040272490483,1.444438773599785,2.1017260340786073,45.27089434701145,322
rolling_r24_m020,rolling,0.24,20,3,1.551335652506942,0.39236876377479457,1.5507795468699874,13.597154589899587,60.38066212182999,322
rolling_r24_m020,rolling,0.24,20,5,1.59656652360515,0.33845922660789424,1.5888705588004275,22.49454472350512,69.91480410048585,322
rolling_r24_m020,rolling,0.24,20,10,1.4850299401197602,0.2697730915648167,1.4733912587030555,28.88244283911955,83.67880153251332,322
rolling_r24_m020,rolling,0.24,20,20,1.4287795510231112,0.18910288519334803,1.4292570684073902,36.75277776110312,102.28937424260147,322
rolling_r24_m030,rolling,0.24,30,1,1.451900758240058,0.5447622794200292,1.4551818990956848,1.3217519071014867,47.41869235687712,287
rolling_r24_m030,rolling,0.24,30,3,1.5057142857142858,0.3933910306845004,1.5129297896130895,12.08034196706497,60.314887204240335,287
rolling_r24_m030,rolling,0.24,30,5,1.5288374017376911,0.3395807575587277,1.5282560456272782,18.493394288160715,65.1538831846252,287
rolling_r24_m030,rolling,0.24,30,10,1.3889234598630993,0.2709340227042823,1.3894580726674088,17.198822754086425,69.79974039260291,287
rolling_r24_m030,rolling,0.24,30,20,1.4112778065183653,0.1901062155782848,1.4267457059912736,21.083893868937697,93.18176474251753,287
rolling_r24_m040,rolling,0.24,40,1,1.4347643979057592,0.5442835974011171,1.4357243794024463,1.2604105457272192,45.170322755926364,283
rolling_r24_m040,rolling,0.24,40,3,1.5198172390035174,0.3929243132337855,1.5319182264332736,11.119328270854373,57.689554904040286,283
rolling_r24_m040,rolling,0.24,40,5,1.5632222549060808,0.3390658839621566,1.5689248970342398,17.722251570533974,64.69020273786919,283
rolling_r24_m040,rolling,0.24,40,10,1.503505719858717,0.2702752764162772,1.501939916334588,22.138394256898412,79.42546636209475,283
rolling_r24_m040,rolling,0.24,40,20,1.6788266265513352,0.18943063946198563,1.683524162457926,34.045327251251734,118.9460771354236,283
rolling_r24_m060,rolling,0.24,60,1,1.462533888593868,0.5444157029823494,1.4637177952492013,1.756268863815537,44.45878870541882,265
rolling_r24_m060,rolling,0.24,60,3,1.5263015289336173,0.3931071211199026,1.5317904433586473,7.673919091531334,49.22685481810655,265
rolling_r24_m060,rolling,0.24,60,5,1.5349150109880254,0.3392726719415703,1.5307496232315605,14.442790018885894,58.118205038000326,265
rolling_r24_m060,rolling,0.24,60,10,1.604229947125661,0.27051125989044433,1.6036495497032415,24.545646516315085,88.00724170962027,265
rolling_r24_m060,rolling,0.24,60,20,1.9508749397977203,0.189561777236762,1.9641735929421362,38.83382912256493,140.36548791221202,265
rolling_r24_m090,rolling,0.24,90,1,1.5199317842677467,0.5443258296588536,1.5202345012343959,3.455781672932156,53.20900100301101,278
rolling_r24_m090,rolling,0.24,90,3,1.6748717570210725,0.39302912508702714,1.6817217309299406,11.257900679038139,65.26413770852172,278
rolling_r24_m090,rolling,0.24,90,5,1.7072002736446037,0.3392318403341843,1.7172406802578037,18.060007305560045,78.32291697720417,278
rolling_r24_m090,rolling,0.24,90,10,1.6899715619466653,0.2703208401021118,1.7084118066021106,19.189914747389018,95.13590343486271,278
rolling_r24_m090,rolling,0.24,90,20,2.0699900451795696,0.18941459735437458,2.0939730078573815,26.274144389184748,138.88647130946404,278
rolling_r26_m010,rolling,0.26,10,1,1.3689052437902485,0.5436359089772442,1.366319832749894,1.7263084315233381,41.30458627877455,387
rolling_r26_m010,rolling,0.26,10,3,1.4363443145589798,0.39218137867800285,1.4318407029553888,11.6804323244637,53.21892096204005,387
rolling_r26_m010,rolling,0.26,10,5,1.5051139864448553,0.338209552388097,1.4946977724605564,20.024770342555147,60.56468874140246,387
rolling_r26_m010,rolling,0.26,10,10,1.4090364472616241,0.2695778111194465,1.3960258426729824,29.512165452450503,72.44786919615599,387
rolling_r26_m010,rolling,0.26,10,20,1.4244214944496605,0.18866174877052597,1.4152381387580877,38.10464413208849,92.22913739981972,387
rolling_r26_m015,rolling,0.26,15,1,1.4094779320107331,0.5437344913151364,1.408517322183198,3.2021736068081283,44.22694863080226,351
rolling_r26_m015,rolling,0.26,15,3,1.525393942944174,0.3922203841558681,1.524244143530475,14.634293617354567,57.7969459129793,351
rolling_r26_m015,rolling,0.26,15,5,1.583695652173913,0.33820420917195115,1.5758817748310154,21.882182333035033,64.18140357756332,351
rolling_r26_m015,rolling,0.26,15,10,1.4897750511247445,0.2696443341604632,1.4769408465763503,26.885080276206622,75.34031680313754,351
rolling_r26_m015,rolling,0.26,15,20,1.5236009732360098,0.18886131789357596,1.5206698795794888,36.8056524120723,94.17717854365529,351
rolling_r26_m020,rolling,0.26,20,1,1.433027762088891,0.5443430139059691,1.4332305513522208,2.4745759542458914,44.500766256576114,341
rolling_r26_m020,rolling,0.26,20,3,1.5298047121836729,0.3929737016365528,1.5314406326038223,14.114517888394488,59.37409285959453,341
rolling_r26_m020,rolling,0.26,20,5,1.5822061079347371,0.33918266956768517,1.5766345887320214,22.284695279331352,68.77401500800957,341
rolling_r26_m020,rolling,0.26,20,10,1.4855493856849287,0.2704450856115788,1.471933869847264,27.76716622357695,82.9538466033859,341
rolling_r26_m020,rolling,0.26,20,20,1.438981781881707,0.18952795383596632,1.439065050252871,33.753581674234944,102.3154671734726,341
rolling_r26_m030,rolling,0.26,30,1,1.436673674375146,0.5445456395644652,1.4391556484019374,1.8254331657396676,45.037277988617575,317
rolling_r26_m030,rolling,0.26,30,3,1.5084279659646058,0.39316424137580136,1.5196400125109206,11.947639687152805,58.00028664141788,317
rolling_r26_m030,rolling,0.26,30,5,1.5428550013116964,0.3394092805535769,1.5469586442672398,17.98407549750899,63.932916435472485,317
rolling_r26_m030,rolling,0.26,30,10,1.4462681653576634,0.2704665716902412,1.4494300053429772,18.748228787852156,72.56462108526415,317
rolling_r26_m030,rolling,0.26,30,20,1.4460156825950001,0.1897959702859469,1.4661521016540062,24.189542610241727,97.40519656998949,317
rolling_r26_m040,rolling,0.26,40,1,1.4431295843520784,0.5442882997977216,1.4445265513099825,1.650791889838773,44.34092186802585,303
rolling_r26_m040,rolling,0.26,40,3,1.5203901910310258,0.3928989673160864,1.530862465820818,12.017479074560434,56.94832459552923,303
rolling_r26_m040,rolling,0.26,40,5,1.5576666404961919,0.33900244863196,1.5574230035701908,18.49446070855587,63.79543744161055,303
rolling_r26_m040,rolling,0.26,40,10,1.51472761304305,0.2701745981049718,1.5074226464541869,22.28605612820892,78.33873912584005,303
rolling_r26_m040,rolling,0.26,40,20,1.6896818149891126,0.18946289790269352,1.6895939583605242,32.84234668294045,115.38147912162083,303
rolling_r26_m060,rolling,0.26,60,1,1.4611204225709786,0.5437748563853292,1.460633535208864,2.22380586308879,44.619504946230485,292
rolling_r26_m060,rolling,0.26,60,3,1.536739076858078,0.39221995139195764,1.5405484128141451,8.13856976397428,49.765837111216904,292
rolling_r26_m060,rolling,0.26,60,5,1.5288642116436675,0.33824016791869205,1.5241358242744185,14.064077971929645,58.914049920423004,292
