rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.35,365,1.4435028248587571,120,0,0.4438356164383562,0.3379032258064516,1.3134991990061138,0.5757792900560758,52.95809284227546,1.3134991990061138,1.3134991990061138,1,1,1.3248587570621468,1.4830508474576272,1.2154154600133662,0.9111111111111111,1.3134991990061138,1.4435028248587571,1.4435028248587571,0.755056179775281,2.5136363636363637,4,shared_extra_minimum_stack50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.2154154600133662
0.15,316,1.249717514124294,20,0,0.4272151898734177,0.3379032258064516,1.2643122564272984,0.5762574891206079,49.25698080910624,1.2643122564272984,1.2643122564272984,1,1,1.1666666666666667,1.364406779661017,1.2125021826436182,0.8585209003215434,1.2643122564272984,1.249717514124294,1.249717514124294,0.91,1.8295454545454546,4,shared_extra_conservative_stack50,rolling,0.15,20,0,0,0.0,0.0,0,0,1.2125021826436182
0.35,420,1.6610169491525424,20,0,0.4166666666666667,0.3379032258064516,1.2330946698488465,0.5864188558687671,48.662037120428636,1.2330946698488465,1.2330946698488465,1,1,1.6214689265536724,1.7203389830508475,1.212473572938689,0.8795180722891566,1.2330946698488465,1.6610169491525424,1.6610169491525424,1.3125,2.4977272727272726,4,shared_hist_geomean,rolling,0.35,20,0,0,0.0,0.0,0,0,1.212473572938689
0.22,344,1.3604519774011299,60,0,0.43023255813953487,0.3379032258064516,1.2732419381695066,0.5767066183331928,48.01762254353456,1.2732419381695066,1.2732419381695066,1,1,1.2853107344632768,1.384180790960452,1.1980676328502415,0.9144542772861357,1.2732419381695066,1.3604519774011299,1.3604519774011299,0.7078651685393259,2.2113636363636364,4,shared_extra_geomean_stack50,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1980676328502415
0.25,319,1.2615819209039547,20,0,0.4169278996865204,0.3379032258064516,1.2338677699553349,0.586314204401757,49.10422664688896,1.2338677699553349,1.2338677699553349,1,1,1.225988700564972,1.3248587570621468,1.1940298507462688,0.8471337579617835,1.2338677699553349,1.2615819209039547,1.2615819209039547,0.7795454545454547,1.956818181818182,4,shared_hist_minimum,rolling,0.25,20,0,0,0.0,0.0,0,0,1.1940298507462688
0.35,423,1.6728813559322033,20,0,0.425531914893617,0.3379032258064516,1.2593307266541411,0.5786484844432687,41.08449925785833,1.2593307266541411,1.2593307266541411,1,1,1.6214689265536724,1.7203389830508475,1.189765458422175,0.8947368421052632,1.2593307266541411,1.6728813559322033,1.6728813559322033,1.053932584269663,3.197727272727273,4,shared_xgb_minimum_anchor25,rolling,0.35,20,0,0,0.0,0.0,0,0,1.189765458422175
0.3,409,1.6175141242937854,20,0,0.4156479217603912,0.3379032258064516,1.230079768455573,0.564901351457417,41.56032541171625,1.230079768455573,1.230079768455573,1,1,1.5225988700564972,1.6610169491525424,1.1829405162738496,0.8985148514851485,1.230079768455573,1.6175141242937854,1.6175141242937854,1.0818181818181818,2.831818181818182,4,shared_xgb_minimum,rolling,0.3,20,0,0,0.0,0.0,0,0,1.1829405162738496
0.3,410,1.6214689265536724,20,0,0.4146341463414634,0.3379032258064516,1.2270795738983642,0.5646339088195024,41.404792660437394,1.2270795738983642,1.2270795738983642,1,1,1.5225988700564972,1.6610169491525424,1.1829405162738496,0.8962962962962963,1.2270795738983642,1.6214689265536724,1.6214689265536724,1.0977272727272729,2.831818181818182,4,shared_xgb_conservative,rolling,0.3,20,0,0,0.0,0.0,0,0,1.1829405162738496
0.3,411,1.6254237288135593,20,0,0.41362530413625304,0.3379032258064516,1.224093978828052,0.5644565827226242,41.176866116428016,1.224093978828052,1.224093978828052,1,1,1.5225988700564972,1.6807909604519775,1.1829405162738496,0.8940886699507389,1.224093978828052,1.6254237288135593,1.6254237288135593,1.1136363636363638,2.831818181818182,4,shared_xgb_geomean,rolling,0.3,20,0,0,0.0,0.0,0,0,1.1829405162738496
0.35,369,1.459322033898305,120,0,0.4146341463414634,0.3379032258064516,1.2270795738983642,0.6005598853485039,51.26538649184403,1.2270795738983642,1.2270795738983642,1,1,1.344632768361582,1.5621468926553672,1.1814345991561181,0.9203296703296703,1.2270795738983642,1.459322033898305,1.459322033898305,0.7159090909090909,3.0704545454545458,4,shared_extra_geomean_anchor25,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1814345991561181
