indicator,target,corridor,h,n_scope,n_signals,hit_rate,base_rate,lift,signals_per_week,weekly_max,calendar_gap_max_days,symmetric_bps,future_only_bps,decision_clock,reference,evaluation_period
ТЗ: уровень (нижний дециль),window_closing,TJS,1,657,105,0.5047619047619047,0.5251141552511416,0.9612422360248446,0.7786016949152542,5,236,12.40605246571882,-7.66990085547715,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,UZS,1,657,140,0.5071428571428571,0.5190258751902588,0.9771051529116044,1.0381355932203389,5,237,10.496669768456886,-9.550862258236462,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,KGS,1,657,165,0.42424242424242425,0.4961948249619482,0.8549916341327385,1.2235169491525424,5,232,7.628067610219472,-9.138436431772732,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,AMD,1,657,154,0.4935064935064935,0.5251141552511416,0.9398080180688876,1.1419491525423728,5,237,8.070716678717234,-6.985685968886768,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),window_closing,KZT,1,657,161,0.4968944099378882,0.5144596651445966,0.9658568855893271,1.1938559322033897,5,204,13.886517248705633,-2.5423054451238993,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,now_favourable,TJS,1,656,52,0.5384615384615384,0.5259146341463414,1.0238573021181716,0.3860021208907741,3,207,-23.6758636797259,20.65083911479358,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,now_favourable,UZS,1,656,62,0.5161290322580645,0.5213414634146342,0.9900018864365213,0.4602332979851537,3,141,-21.743563003596645,13.575066079457761,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,now_favourable,KGS,1,656,52,0.4230769230769231,0.4954268292682927,0.8539644970414201,0.3860021208907741,3,187,-26.072748110688718,5.7449635757642294,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,now_favourable,AMD,1,656,51,0.5294117647058824,0.524390243902439,1.009575923392613,0.37857900318133614,3,123,-22.56461756518671,19.576415260373068,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: разворот от минимума,now_favourable,KZT,1,656,58,0.5344827586206896,0.5137195121951219,1.04041747672158,0.4305408271474019,3,120,-24.272148072868056,18.24770071146418,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
