model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,ece_delta_t25,auc_delta_t25,brier_delta_identity,logloss_delta_identity,ece_delta_identity,auc_delta_identity
t25_base,currency_year,UZS:2026,217,0.2626728110599078,0.08491303379131863,0.21726571720572166,0.673103693895249,0.17775977726858921,0.21726571720572166,0.673103693895249,0.17775977726858921,0.0,0.0,0.7180921052631578,0.46908302196553064,0.0,-1.1102230246251565e-16,0.009761341645578903,0.04941790439405769,0.05539906814205292,0.1797149122807017
weak_selected,ALL,ALL,2910,0.13711340206185568,0.1038533015924523,0.11824822834296733,0.40453511320869345,0.033260100469403385,0.11824822834296733,0.40453511320869345,0.033260100469403385,0.0,0.0,0.5625902669856641,0.20916730278997284,0.0,0.0,-0.00604112264102423,-0.01562648233887276,-0.00281567658690636,0.1884749707801962
weak_selected,currency,AMD,582,0.13402061855670103,0.12622299854054508,0.11575219324302753,0.39392501702593974,0.012780856753951157,0.11575219324302753,0.39392501702593974,0.012780856753951157,0.0,0.0,0.5431929181929183,0.2149454515903087,0.0,1.1102230246251565e-16,-0.010019453854034008,-0.031733779498744064,-0.04584930813888282,0.22667378917378922
weak_selected,currency,KGS,582,0.1254295532646048,0.10268972128831913,0.11091336231747127,0.384207595533155,0.03671757710061025,0.11091336231747127,0.384207595533155,0.03671757710061025,0.0,0.0,0.5284334042037839,0.1446640960113877,0.0,0.0,-0.008108315424456863,-0.024780078594485666,-0.016639399909970924,0.23042764485830391
weak_selected,currency,KZT,582,0.12027491408934708,0.06844746522783933,0.10727577788067992,0.3873339038403767,0.051827448861507745,0.10727577788067992,0.3873339038403767,0.051827448861507745,0.0,0.0,0.5133649553571429,0.2345197439404355,0.0,0.0,-0.0032637874901230296,0.0009492769255025069,0.033244473167690566,0.22787388392857144
weak_selected,currency,TJS,582,0.15807560137457044,0.13177923723634127,0.12983842731591957,0.42777610656522125,0.037490131258177434,0.12983842731591957,0.42777610656522125,0.037490131258177434,0.0,0.0,0.5788598047914817,0.32398005318302825,0.0,-1.1102230246251565e-16,-0.006104926082142442,-0.018172877880299976,-0.0005581895998494971,0.1372005323868677
weak_selected,currency,UZS,582,0.14776632302405499,0.09012708566921668,0.12746138095773835,0.4294329430787747,0.057639237354838314,0.12746138095773835,0.4294329430787747,0.057639237354838314,0.0,0.0,0.5812078019504876,0.23626996708709586,0.0,0.0,-0.002709130354364764,-0.00439495264633688,0.008301726839307709,0.20384002250562638
weak_selected,year,2025,1825,0.08712328767123288,0.10974651589276566,0.08063210801862825,0.30432953673112084,0.04771942081596733,0.08063210801862825,0.30432953673112084,0.04771942081596733,0.0,0.0,0.5195474416181567,0.16808481676795148,0.0,0.0,-0.011194798773962053,-0.03656124496799723,-0.045686557992480246,0.13923682680619415
weak_selected,year,2026,1085,0.22119815668202766,0.09394075219330772,0.18151958280556532,0.5730836635050712,0.12725740448871992,0.18151958280556532,0.5730836635050712,0.12725740448871992,0.0,0.0,0.6573915187376727,0.3755693160660458,0.0,1.1102230246251565e-16,0.0026275031125347903,0.01958636724467755,0.052121992396255284,0.1861883629191322
weak_selected,currency_year,AMD:2025,365,0.0821917808219178,0.13468537497403363,0.0801955181002498,0.3058127176019984,0.06791585892954147,0.0801955181002498,0.3058127176019984,0.06791585892954147,0.0,0.0,0.4657711442786069,0.18880878806999055,0.0,-5.551115123125783e-17,-0.014734819430115356,-0.04692000736437035,-0.054925980012094866,0.1720398009950248
weak_selected,currency_year,AMD:2026,217,0.22119815668202766,0.11198904739665878,0.1755595039670546,0.5421323409417859,0.10920910928536888,0.1755595039670546,0.5421323409417859,0.10920910928536888,0.0,0.0,0.6926775147928993,0.4092795983240082,0.0,-1.1102230246251565e-16,-0.0020880785762934506,-0.006190124333059321,0.046161882725823736,0.2421104536489151
weak_selected,currency_year,KGS:2025,365,0.0821917808219178,0.10867337530236558,0.07927854624238058,0.30354320113588484,0.06211166343921428,0.07927854624238058,0.30354320113588484,0.06211166343921428,0.0,0.0,0.4138308457711442,0.09398223044431413,0.0,-5.551115123125783e-17,-0.014184600662244903,-0.045383574448049024,-0.050729336872869436,0.19174129353233824
weak_selected,currency_year,KGS:2026,217,0.19815668202764977,0.09262504979003819,0.16412399765114918,0.5198873372612821,0.107554240657143,0.16412399765114918,0.5198873372612821,0.107554240657143,0.0,0.0,0.6923282544774124,0.3737979485704528,0.0,0.0,0.002112164353389373,0.009875571113120984,0.06085744575505858,0.2325581395348837
