scenario,clock,model,bin_left,bin_right,n,predicted,actual
calendar_assumed_replay,19:15,identity_h20,0.4,0.5,15,0.4259502222194828,0.13333333333333333
calendar_assumed_replay,19:15,source_driven_h20_shrink50_shadow,0.0,0.1,191,0.08382934633134238,0.005235602094240838
calendar_assumed_replay,19:15,source_driven_h20_shrink50_shadow,0.1,0.2,1926,0.15360676532594567,0.1043613707165109
calendar_assumed_replay,19:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,583,0.23750407364865217,0.20411663807890223
calendar_assumed_replay,19:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,176,0.3394775343756616,0.3977272727272727
calendar_assumed_replay,19:15,source_driven_h20_shrink50_shadow,0.4,0.5,34,0.43264386064820615,0.23529411764705882
calendar_assumed_replay,20:15,identity_h20,0.0,0.1,165,0.0802138985187381,0.11515151515151516
calendar_assumed_replay,20:15,identity_h20,0.1,0.2,1913,0.15422129119028644,0.12859383167799268
calendar_assumed_replay,20:15,identity_h20,0.2,0.30000000000000004,702,0.23681579672987302,0.1339031339031339
calendar_assumed_replay,20:15,identity_h20,0.30000000000000004,0.4,113,0.33664566745686614,0.3274336283185841
calendar_assumed_replay,20:15,identity_h20,0.4,0.5,17,0.4295689330480122,0.17647058823529413
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.0,0.1,228,0.08067682284875519,0.021929824561403508
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.1,0.2,1919,0.15243112734295053,0.11151641479937467
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,578,0.23665573259444972,0.18339100346020762
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,148,0.34352225066879766,0.43243243243243246
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.4,0.5,36,0.43427072208195017,0.2777777777777778
calendar_assumed_replay,20:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5075529386552898,0.0
calendar_assumed_replay,21:15,identity_h20,0.0,0.1,165,0.0802138985187381,0.11515151515151516
calendar_assumed_replay,21:15,identity_h20,0.1,0.2,1913,0.15422129119028644,0.12859383167799268
calendar_assumed_replay,21:15,identity_h20,0.2,0.30000000000000004,702,0.23681579672987302,0.1339031339031339
calendar_assumed_replay,21:15,identity_h20,0.30000000000000004,0.4,113,0.33664566745686614,0.3274336283185841
calendar_assumed_replay,21:15,identity_h20,0.4,0.5,17,0.4295689330480122,0.17647058823529413
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.0,0.1,233,0.0806613365437644,0.02145922746781116
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.1,0.2,1907,0.15282441052422843,0.10959622443628736
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,582,0.23685017605529127,0.18900343642611683
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,149,0.3432393150415659,0.42953020134228187
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.4,0.5,38,0.43243369424634703,0.2894736842105263
calendar_assumed_replay,21:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5048490780596726,0.0
calendar_assumed_replay,22:15,identity_h20,0.0,0.1,165,0.0802138985187381,0.11515151515151516
calendar_assumed_replay,22:15,identity_h20,0.1,0.2,1913,0.15422129119028644,0.12859383167799268
calendar_assumed_replay,22:15,identity_h20,0.2,0.30000000000000004,702,0.23681579672987302,0.1339031339031339
calendar_assumed_replay,22:15,identity_h20,0.30000000000000004,0.4,113,0.33664566745686614,0.3274336283185841
calendar_assumed_replay,22:15,identity_h20,0.4,0.5,17,0.4295689330480122,0.17647058823529413
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.0,0.1,231,0.08022243914102509,0.021645021645021644
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.1,0.2,1911,0.1525197559435745,0.10936682365253794
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,581,0.23668473016370342,0.18760757314974183
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,149,0.34317145537363947,0.436241610738255
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.4,0.5,37,0.4330069654476161,0.2972972972972973
calendar_assumed_replay,22:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5031928945989262,0.0
calendar_assumed_replay,23:15,identity_h20,0.0,0.1,165,0.0802138985187381,0.11515151515151516
calendar_assumed_replay,23:15,identity_h20,0.1,0.2,1913,0.15422129119028644,0.12859383167799268
calendar_assumed_replay,23:15,identity_h20,0.2,0.30000000000000004,702,0.23681579672987302,0.1339031339031339
calendar_assumed_replay,23:15,identity_h20,0.30000000000000004,0.4,113,0.33664566745686614,0.3274336283185841
calendar_assumed_replay,23:15,identity_h20,0.4,0.5,17,0.4295689330480122,0.17647058823529413
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.0,0.1,234,0.08025070116281195,0.021367521367521368
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.1,0.2,1908,0.15258670286757567,0.10953878406708595
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,582,0.2366374748254252,0.1872852233676976
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,149,0.3436183786483066,0.436241610738255
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.4,0.5,36,0.43397040377648993,0.3055555555555556
calendar_assumed_replay,23:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5024100759959645,0.0
no_same_day_receipt,00:15,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
no_same_day_receipt,00:15,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
no_same_day_receipt,00:15,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
no_same_day_receipt,00:15,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
no_same_day_receipt,00:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
no_same_day_receipt,06:00,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
no_same_day_receipt,06:00,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
no_same_day_receipt,06:00,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
no_same_day_receipt,06:00,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
no_same_day_receipt,06:00,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
no_same_day_receipt,09:15,identity_h20,0.1,0.2,2421,0.15571323378174956,0.1590251961999174
no_same_day_receipt,09:15,identity_h20,0.2,0.30000000000000004,489,0.22691666711549494,0.028629856850715747
no_same_day_receipt,09:15,source_driven_h20_shrink50_shadow,0.0,0.1,19,0.09153619742506895,0.0
no_same_day_receipt,09:15,source_driven_h20_shrink50_shadow,0.1,0.2,2584,0.16050907840547662,0.14589783281733745
no_same_day_receipt,09:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,307,0.21698602422540997,0.07166123778501629
no_same_day_receipt,10:15,identity_h20,0.0,0.1,141,0.0801268299894481,0.07092198581560284
