scenario,clock,h,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity
no_same_day_receipt,15:10,20,identity_h20,currency_year,AMD:2025,365,0.0821917808219178,0.19768546015126132,0.0913501985023898,0.33055980858280554,0.11549367932934351,0.0913501985023898,0.33055980858280554,0.11549367932934351,0.0,0.0,0.6120895522388059,0.12077399239733046,-1.1102230246251565e-16,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,AMD:2026,217,0.22119815668202766,0.17000657526495477,0.15970455048211077,0.4884515505282179,0.0705079757326088,0.15970455048211077,0.4884515505282179,0.0705079757326088,0.0,0.0,0.6864521696252466,0.4141439286335463,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,KGS:2025,365,0.0821917808219178,0.18831104734314874,0.09103941958292149,0.32926645089222917,0.10611926652123094,0.09103941958292149,0.32926645089222917,0.10611926652123094,0.0,0.0,0.5676616915422885,0.09984203454275736,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,KGS:2026,217,0.19815668202764977,0.16265969079768033,0.14527556993244667,0.4525278963101837,0.05133984948343199,0.14527556993244667,0.4525278963101837,0.05133984948343199,0.0,0.0,0.7066960705693665,0.4070416108476428,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,KZT:2025,365,0.049315068493150684,0.14463023319044502,0.0531326128156151,0.2269109124729039,0.09800581905682579,0.0531326128156151,0.2269109124729039,0.09800581905682579,0.0,0.0,0.7329490874159462,0.27714561976849156,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,KZT:2026,217,0.23963133640552994,0.13241099851958948,0.18348325275381389,0.560771100183497,0.11381554452750443,0.18348325275381389,0.560771100183497,0.11381554452750443,0.0,0.0,0.6567599067599068,0.3914543866148129,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,TJS:2025,365,0.14246575342465753,0.18316811153155793,0.12360879149501144,0.40773799482458345,0.04070235810690037,0.12360879149501144,0.40773799482458345,0.04070235810690037,0.0,0.0,0.5854632587859426,0.203663592363211,1.1102230246251565e-16,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,TJS:2026,217,0.18433179723502305,0.17081365152360278,0.13571210934126912,0.42892277155858377,0.07435210020930906,0.13571210934126912,0.42892277155858377,0.07435210020930906,0.0,0.0,0.7295197740112994,0.40626631915114525,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,UZS:2025,365,0.07945205479452055,0.16291104211577803,0.07854647071712544,0.29431222648838057,0.08345898732125749,0.07854647071712544,0.29431222648838057,0.08345898732125749,0.0,0.0,0.6423440065681445,0.16864687876031376,0.0,0.0
no_same_day_receipt,15:10,20,identity_h20,currency_year,UZS:2026,217,0.2626728110599078,0.15043776212264565,0.19165317668902482,0.5687370948813815,0.1257236044681792,0.19165317668902482,0.5687370948813815,0.1257236044681792,0.0,0.0,0.7196820175438596,0.4604350341131376,0.0,0.0
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,ALL,ALL,2910,0.13711340206185568,0.16738674782056687,0.11382410494669297,0.37883514841749094,0.03280400302156491,0.11573440001112661,0.385663044076101,0.031575012584157576,-0.0019102950644336453,-0.006827895658610084,0.6817501739214623,0.24224966868359904,0.03909215491935725,0.0012289904374073318
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency,AMD,582,0.13402061855670103,0.1865307445824203,0.11444013495115955,0.3813793268668167,0.05258832192091365,0.11683627131957101,0.38943009724630123,0.053422903434207386,-0.002396136368411461,-0.00805077037948454,0.6714489214489214,0.23185235013451883,0.04067460317460314,-0.0008345815132937348
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency,KGS,582,0.1254295532646048,0.1749112615432797,0.10866903718136263,0.3665842758295312,0.049565301259342366,0.11126148938678224,0.3752247561425662,0.05340092147438898,-0.002592452205419607,-0.008640480313034993,0.6794009204187637,0.21768812352211703,0.050542293511316894,-0.0038356202150466173
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency,KZT,582,0.12027491408934708,0.14010248090258845,0.10054420529612158,0.34624456107162904,0.03563895633571765,0.10173414007779576,0.351391429196613,0.035610739682722575,-0.0011899347816741734,-0.005146868124983939,0.6702008928571428,0.26023790482234105,0.04282924107142849,2.8216652995072256e-05
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency,TJS,582,0.15807560137457044,0.1771665849381101,0.12639640052330037,0.4095611535824964,0.04081030245927236,0.12812154058889103,0.4156367861498034,0.021977412674881125,-0.001725140065590658,-0.006075632567307032,0.6877551020408164,0.2843171714151238,0.0334738243123337,0.018832889784391238
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency,UZS,582,0.14776632302405499,0.1582226671364357,0.11907074678152074,0.3904064247369814,0.019725406090223063,0.12071855868259306,0.39663215164522114,0.023381078983774884,-0.001647811901072313,-0.006225726908239748,0.6892465303825956,0.26668451756920175,0.03497749437359343,-0.0036556728935518215
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,year,2025,1825,0.08712328767123288,0.17089538715086855,0.08563541430849306,0.3115481132294967,0.08377209947963568,0.08753549862261265,0.3177574786521805,0.08821789119520533,-0.0019000843141195878,-0.006209365422683799,0.6727766578329445,0.14886087147203436,0.03608613256623405,-0.00444579171556965
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,year,2026,1085,0.22119815668202766,0.16148511945393032,0.1612382620109463,0.49201380207471623,0.06721161425709252,0.16316573183973304,0.49988208269237266,0.0714309980653283,-0.0019274698287867487,-0.007868280617656431,0.7215162721893491,0.4094917202017952,0.035138067061143974,-0.004219383808235777
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2025,365,0.0821917808219178,0.19246727170599032,0.08887279061922576,0.3230935553322343,0.11027549088407249,0.0913501985023898,0.33055980858280554,0.11549367932934351,-0.002477407883164043,-0.007466253250571264,0.6512935323383084,0.1322701858952739,0.03920398009950243,-0.005218188445271027
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2026,217,0.22119815668202766,0.17654534181696843,0.15744511504865177,0.47941760617613716,0.06396920918059512,0.15970455048211077,0.4884515505282179,0.0705079757326088,-0.002259435433458995,-0.00903394435208077,0.7318170611439841,0.4302799574437557,0.04536489151873757,-0.006538766552013672
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2025,365,0.0821917808219178,0.1801177231386079,0.08784621732560338,0.3191683546429121,0.09792594231669005,0.09103941958292149,0.32926645089222917,0.10611926652123094,-0.0031932022573181035,-0.010098096249317068,0.6336318407960199,0.11641645264260805,0.06597014925373135,-0.008193324204540886
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2026,217,0.19815668202764977,0.1661538491824743,0.14369359592492084,0.44633916630472004,0.0514420860462375,0.14527556993244667,0.4525278963101837,0.05133984948343199,-0.001581974007525827,-0.006188730005463661,0.7528067361668003,0.42837612287555205,0.04611066559743382,0.00010223656280550913
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2025,365,0.049315068493150684,0.14338607515151872,0.05273550493424946,0.22542798141575554,0.09676166101789949,0.0531326128156151,0.2269109124729039,0.09800581905682579,-0.0003971078813656409,-0.0014829310571483623,0.7327889849503683,0.2794779318098746,-0.00016010246557796037,-0.0012441580389263018
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2026,217,0.23963133640552994,0.13457938458526336,0.18095976120433965,0.5494613886033979,0.11164715846183058,0.18348325275381389,0.560771100183497,0.11381554452750443,-0.0025234915494742327,-0.01130971158009908,0.7178321678321679,0.43246538375002413,0.06107226107226105,-0.0021683860656738496
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2025,365,0.14246575342465753,0.17878613467074395,0.12149327723348836,0.40048165512594797,0.036320381246086386,0.12360879149501144,0.40773799482458345,0.04070235810690037,-0.00211551426152308,-0.007256339698635483,0.6333865814696485,0.22482941546062013,0.04792332268370603,-0.004381976860813985
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2026,217,0.18433179723502305,0.17444245750764306,0.1346435894669934,0.4248331210324512,0.07798090619334937,0.13571210934126912,0.42892277155858377,0.07435210020930906,-0.0010685198742757251,-0.004089650526132582,0.759180790960452,0.41498688462512345,0.029661016949152574,0.0036288059840403064
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2025,365,0.07945205479452055,0.15971973108748203,0.0772292814298983,0.28956901963063353,0.08026767629296146,0.07854647071712544,0.29431222648838057,0.08345898732125749,-0.0013171892872271412,-0.00474320685774704,0.6594827586206896,0.17341014418807518,0.017138752052545114,-0.0031913110282960344
no_same_day_receipt,15:10,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2026,217,0.2626728110599078,0.15570456417730255,0.18944924840982583,0.5600177282568753,0.1204568024135223,0.19165317668902482,0.5687370948813815,0.1257236044681792,-0.002203928279198991,-0.00871936662450612,0.7556469298245614,0.47939358103927426,0.035964912280701755,-0.005266802054656905
no_same_day_receipt,15:25,20,identity_h20,ALL,ALL,2910,0.13711340206185568,0.16859826790970953,0.11559740012808753,0.3852979292391892,0.03156714423630308,0.11559740012808753,0.3852979292391892,0.03156714423630308,0.0,0.0,0.643303300066175,0.22428330454073092,0.0,0.0
no_same_day_receipt,15:25,20,identity_h20,currency,AMD,582,0.13402061855670103,0.187365007429417,0.11655543644363436,0.3886549210363668,0.05511286928505304,0.11655543644363436,0.3886549210363668,0.05511286928505304,0.0,0.0,0.6316900691900691,0.21478540894018186,-1.1102230246251565e-16,0.0
no_same_day_receipt,15:25,20,identity_h20,currency,KGS,582,0.1254295532646048,0.1787458393257207,0.11099854088058139,0.37449555409576063,0.053395606631789924,0.11099854088058139,0.37449555409576063,0.053395606631789924,0.0,0.0,0.6300966170573512,0.19619325781284622,0.0,0.0
no_same_day_receipt,15:25,20,identity_h20,currency,KZT,582,0.12027491408934708,0.1400625642932298,0.10180993966624831,0.35169988525845663,0.03668527150292702,0.10180993966624831,0.35169988525845663,0.03668527150292702,0.0,0.0,0.6254324776785714,0.24791824026517778,-1.1102230246251565e-16,0.0
