rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.22,289,1.1429378531073446,20,0,0.4186851211072664,0.3379032258064516,1.2390681388377336,0.5388416826793101,25.34159624684282,1.2390681388377336,1.2390681388377336,1,1,1.0677966101694916,1.1864406779661016,1.1299435028248588,0.778169014084507,1.2390681388377336,1.1429378531073446,1.1429378531073446,1.0340909090909092,1.295,4,week_pair_fav_compact_anchor25,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1299435028248588
0.2,285,1.1271186440677967,40,0,0.4245614035087719,0.3379032258064516,1.2564585688565089,0.5631673347887639,23.867289789017487,1.2564585688565089,1.2564585688565089,1,1,1.0875706214689267,1.2062146892655368,1.126604779774837,0.8285714285714286,1.2564585688565089,1.1271186440677967,1.1271186440677967,0.7318181818181818,1.7340909090909091,4,week_pair_fav_compact_anchor50,rolling,0.2,40,0,0,0.0,0.0,0,0,1.126604779774837
0.35,266,1.0519774011299436,60,3,0.40601503759398494,0.3379032258064516,1.2015719489654924,0.5731804452919921,38.44650260536468,1.2015719489654924,1.2015719489654924,1,1,0.9491525423728814,1.1271186440677967,1.115530303030303,0.7854406130268199,1.2015719489654924,1.0519774011299436,1.0519774011299436,0.7318181818181818,1.3522727272727273,4,week_pair_ordinal_compact_anchor50,rolling,0.35,60,3,0,0.0,0.0,0,0,1.115530303030303
0.25,329,1.301129943502825,20,0,0.425531914893617,0.3379032258064516,1.2593307266541411,0.5451556545222516,42.706659530471036,1.2593307266541411,1.2593307266541411,1,1,1.1864406779661016,1.4039548022598871,1.1113956466069141,0.808641975308642,1.2593307266541411,1.301129943502825,1.301129943502825,1.1931818181818181,1.590909090909091,4,week_pair_benefit_compact,rolling,0.25,20,0,0,0.0,0.0,0,0,1.1113956466069141
0.3,378,1.494915254237288,20,0,0.3862433862433862,0.3379032258064516,1.1430591860186132,0.5539594591844743,27.717166542875756,1.1430591860186132,1.1430591860186132,1,1,1.3248587570621468,1.6610169491525424,1.1022222222222222,0.8793565683646113,1.1430591860186132,1.494915254237288,1.494915254237288,1.0181818181818183,2.2272727272727275,4,week_ndcg_fav_benefit_full_anchor50,rolling,0.3,20,0,0,0.0,0.0,0,0,1.1022222222222222
0.2,273,1.0796610169491525,20,0,0.40293040293040294,0.3379032258064516,1.192443197216467,0.5149651597824412,24.737683733208467,1.192443197216467,1.192443197216467,1,1,1.0480225988700564,1.1271186440677967,1.0877192982456139,0.7052238805970149,1.192443197216467,1.0796610169491525,1.0796610169491525,0.9545454545454546,1.2075,4,week_pair_fav_compact,rolling,0.2,20,0,0,0.0,0.0,0,0,1.0877192982456139
0.22,275,1.0875706214689267,60,0,0.4218181818181818,0.3379032258064516,1.2483402039487959,0.5566077226968682,40.70407775208655,1.2483402039487959,1.2483402039487959,1,1,1.0282485875706215,1.2062146892655368,1.083916083916084,0.7592592592592593,1.2483402039487959,1.0875706214689267,1.0875706214689267,0.875,1.415909090909091,4,week_pair_fav_benefit_full_anchor25,rolling,0.22,60,0,0,0.0,0.0,0,0,1.083916083916084
0.35,271,1.0717514124293785,40,3,0.3726937269372694,0.3379032258064516,1.102959955613876,0.526216645978622,27.047969601685946,1.102959955613876,1.102959955613876,1,1,1.0084745762711864,1.1073446327683616,1.049910873440285,0.7744360902255639,1.102959955613876,1.0717514124293785,1.0717514124293785,0.875,1.2898876404494382,4,week_ndcg_fav_benefit_full_anchor25,rolling,0.35,40,3,0,0.0,0.0,0,0,1.049910873440285
0.35,253,1.0005649717514125,40,3,0.36363636363636365,0.3379032258064516,1.0761553482317205,0.5056119349184155,18.202195902709796,1.0761553482317205,1.0761553482317205,1,1,0.9887005649717514,1.0282485875706215,1.0297202797202796,0.7217741935483871,1.0761553482317205,1.0005649717514125,1.0005649717514125,0.7525,1.2584269662921348,4,week_ndcg_fav_benefit_full,rolling,0.35,40,3,0,0.0,0.0,0,0,1.0297202797202796
0.25,260,1.0282485875706215,120,0,0.3730769230769231,0.3379032258064516,1.1040939966954286,0.5273561841749541,36.01755970479599,1.1040939966954286,1.1040939966954286,1,1,0.9491525423728814,1.1271186440677967,1.0147760854739714,0.7490196078431373,1.1040939966954286,1.0282485875706215,1.0282485875706215,0.7954545454545455,1.638636363636364,4,week_pair_fav_benefit_full,rolling,0.25,120,0,0,0.0,0.0,0,0,1.0147760854739714
