rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,family,status
0.25,776,1.1328467153284671,500,0,0.36597938144329895,0.294478527607362,1.2428049828178693,0.6075948822463768,29.561119225133403,0.9699216185953126,1.1649435131454708,2,3,1.094890510948905,1.1897810218978102,1.1049218980253463,0.8651102464332037,1.172595499564999,0.6035555555555554,1.9892655367231638,new_triad_equal,ensemble,post-hoc sensitivity; forbidden for selection
0.25,1200,1.7518248175182483,120,0,0.3641666666666667,0.294478527607362,1.2366493055555556,0.5673129528985508,24.575349452045316,1.1111604013805219,1.2667846863446417,3,3,1.686131386861314,1.832116788321168,1.0599441315198974,0.9598326359832636,1.2249724141205174,1.3842253521126762,2.127683615819209,anchor_multiscale_locked,anchor,post-hoc sensitivity; forbidden for selection
0.4,1359,1.9839416058394161,120,0,0.35908756438557765,0.294478527607362,1.219401520726024,0.5873052536231884,20.759638913972463,1.1001228076244507,1.1639785354878922,3,3,1.8686131386861313,2.051094890510949,1.1365698219306466,0.9394387001477105,1.1923815017263923,1.6642253521126762,2.4836158192090396,stable_invariant_logit,stable,post-hoc sensitivity; forbidden for selection
0.25,905,1.3211678832116789,120,0,0.34917127071823206,0.294478527607362,1.1857274401473297,0.555169384057971,23.57357717840749,1.0605749662237272,1.1423695697874288,3,3,1.2773722627737227,1.3503649635036497,1.008841732979664,0.8211111111111111,1.175028551744189,1.1830985915492958,1.5265536723163844,path_analogue_knn250,analogue,post-hoc sensitivity; forbidden for selection
0.3,878,1.2817518248175181,120,0,0.34851936218678814,0.294478527607362,1.1835136674259679,0.5285303442028986,19.292106512331856,0.7866831817769855,1.5573392826830272,2,3,1.1824817518248176,1.3795620437956204,1.0765225122245505,0.9003436426116839,1.3036618213357605,1.1324444444444444,1.5621468926553672,future_floor_extra,rich_target,post-hoc sensitivity; forbidden for selection
0.18,412,0.6014598540145986,250,3,0.3325242718446602,0.294478527607362,1.1291970064724919,0.5575072463768116,21.902775214781293,0.9206295161351342,1.0188192026292109,2,3,0.5547445255474452,0.6715328467153284,0.9628138005101357,0.5356265356265356,1.1434415437243681,0.5126760563380282,0.7237288135593221,path_analogue_knn100,analogue,post-hoc sensitivity; forbidden for selection
0.4,1232,1.7985401459854016,120,0,0.3319805194805195,0.294478527607362,1.1273505140692641,0.5324639945652174,11.81963295882661,0.9445489518192758,1.1344470962609388,2,3,1.7007299270072993,1.8394160583941606,1.0241402116402114,0.9005704971475142,1.1108728542288346,1.3751111111111112,2.135593220338983,era_extra_lower,era,post-hoc sensitivity; forbidden for selection
0.4,1193,1.7416058394160583,120,0,0.32774518021793797,0.294478527607362,1.1129680078234143,0.5395489130434783,7.745438127779925,0.8665483934555489,1.1524423530685628,2,3,1.686131386861314,1.7956204379562044,1.05438622680002,0.9082491582491582,1.0818869336792158,1.182222222222222,2.092090395480226,era_extra_median,era,post-hoc sensitivity; forbidden for selection
0.2,899,1.3124087591240876,0,0,0.3270300333704116,0.294478527607362,1.1105394883203559,0.5044941123188406,6.462986658060169,0.82528418424338,0.9959949697914104,1,3,1.145985401459854,1.5255474452554745,1.0382165605095541,0.9004474272930649,0.9828116359667004,0.35466666666666663,2.2740112994350286,era_logit_median,era,post-hoc sensitivity; forbidden for selection
0.4,677,0.9883211678832117,250,3,0.2968980797636632,0.294478527607362,1.0082163958641064,0.5288525815217391,11.04468754404442,0.792360613063458,0.9456157941562753,1,3,0.9343065693430657,1.0583941605839415,0.9474393053340422,0.7708333333333334,0.9966679940800031,0.7808450704225353,1.3367231638418078,future_floor_hist,rich_target,post-hoc sensitivity; forbidden for selection
