rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,rate,rolling,cooldown,family,robustness
0.25,1486,1.4337698139214334,120,0,0.24562584118438763,0.24577822990844353,0.9993799746864779,0.4942575528309606,0.9428696198389922,0.883043922369765,0.9334030913070337,1,4,1.2687801516195727,1.529290144727774,0.853298611111111,0.9331532748143146,0.9671649406199054,0.8991549295774648,1.957627118644068,anchor_multiscale_locked,0.25,120,0,anchor,0.853298611111111
0.4,961,0.927222605099931,250,3,0.23100936524453694,0.24577822990844353,0.9399097931927973,0.46554799672000524,-3.827305518070874,0.8695415737669259,0.926041817588213,1,4,0.9166092350103378,0.9552033080634046,0.853298611111111,0.7635983263598326,0.9435539302008817,0.8384180790960452,1.1199999999999999,future_floor_hist,0.4,250,3,rich_target,0.853298611111111
0.4,2175,2.0985527222605103,120,0,0.271264367816092,0.24577822990844353,1.1036956687219306,0.5140701679478774,7.166422740810121,0.8448124828907747,1.119093713090237,3,4,2.0503101309441765,2.151619572708477,0.9871129707112971,0.9221198156682028,1.1195957019156013,2.080225988700565,2.1769014084507043,multi_extra_geometric,0.4,120,0,multi_horizon,0.8448124828907747
0.4,1976,1.9065472088215025,120,0,0.24544534412955465,0.24577822990844353,0.9986455847655308,0.4897395208992473,0.0721965118495766,0.8604395604395604,1.0055813986156172,2,4,1.881461061337009,1.9248793935217092,0.8434193104178804,0.9051243023845763,1.0089711125979757,1.8627118644067797,2.0033802816901405,era_extra_anchor25,0.4,120,0,ensemble,0.8434193104178804
0.4,1929,1.861199172984149,120,0,0.24313115603939867,0.24577822990844353,0.9892298277596395,0.4863421761585831,-5.896039838658559,0.8777939042089986,1.0206629238967149,3,4,1.813921433494142,1.8911095796002757,0.8422838956645599,0.8986486486486487,0.9935027396549856,1.6412429378531075,2.1650704225352113,era_extra_lower,0.4,120,0,era,0.8422838956645599
0.4,2158,2.0821502412129567,120,0,0.2706209453197405,0.24577822990844353,1.1010777700716263,0.5143071011170919,6.781120675468534,0.8397993311036789,1.1151915108949648,3,4,2.0213645761543764,2.1226740179186767,0.9816159215506136,0.9252206223873665,1.1159923901306898,2.068361581920904,2.184788732394366,multi_extra_lower,0.4,120,0,multi_horizon,0.8397993311036789
0.35,881,0.8500344589937974,250,3,0.24858115777525538,0.24577822990844353,1.0114042967428645,0.500969840484353,-4.691500925098433,0.8127090301003345,0.9956362823009778,2,4,0.8297725706409373,0.8876636802205375,0.8473278572152927,0.8047945205479452,1.0294731031285143,0.731638418079096,0.9740845070422535,ordinal_count_extra,0.35,250,3,rich_target,0.8127090301003345
0.3,1667,1.608407994486561,120,0,0.2489502099580084,0.24577822990844353,1.012905862536102,0.47358384977767143,0.6816118377456246,0.8031477473932717,0.9632586458644539,2,4,1.5485871812543075,1.7367332873880084,0.9569704049844237,0.937424789410349,0.9896152793645963,1.4997260273972601,1.8310734463276837,future_floor_extra,0.3,120,0,rich_target,0.8031477473932717
0.4,1990,1.9200551343900758,120,0,0.24020100502512562,0.24577822990844353,0.9773078971014011,0.48191648340261933,-0.8481408194889903,0.802737140160453,0.9925875363100571,1,4,1.852515506547209,1.9779462439696762,0.878290620641562,0.8997481108312343,0.988731542243407,1.827118644067797,2.1019718309859154,era_extra_median,0.4,120,0,era,0.802737140160453
0.3,1506,1.453066850447967,250,0,0.23240371845949534,0.24577822990844353,0.9455830101228639,0.4832851576666303,-8.032303341393968,0.7712483607069256,0.8370876358424392,1,4,1.3266712611991731,1.6498966230186078,0.8621691181756748,0.8947368421052632,0.9180644023064451,0.9451977401129943,1.8929577464788732,domain_balanced_logit,0.3,250,0,stable,0.7712483607069256
