c,horizon,feature,coefficient
0.005,3,currency_1_dow_3,0.00865775250865857
0.005,3,currency_2_dow_3,0.007453721032475832
0.005,3,currency_3_dow_3,-0.011722733985317285
0.005,3,currency_4_dow_3,-0.03262070692347143
0.005,3,currency_0_dow_4,-0.021059362899451192
0.005,3,currency_1_dow_4,-0.001979602154379835
0.005,3,currency_2_dow_4,0.010600118463081891
0.005,3,currency_3_dow_4,-0.0015071755978768918
0.005,3,currency_4_dow_4,-0.004252151276063899
0.005,3,currency_0_dow_5,0.0002465511660396841
0.005,3,currency_1_dow_5,-0.022375503165332624
0.005,3,currency_2_dow_5,0.01424436782583097
0.005,3,currency_3_dow_5,0.012434195723399481
0.005,3,currency_4_dow_5,0.03094922855607202
0.005,3,currency_0_dow_6,-0.004917431725231646
0.005,3,currency_1_dow_6,0.00541243379716584
0.005,3,currency_2_dow_6,-9.022414673480044e-05
0.005,3,currency_3_dow_6,-0.0001560503517826957
0.005,3,currency_4_dow_6,0.0004042655085596312
0.005,3,currency_0_dom_bin_0,0.033788258620841685
0.005,3,currency_1_dom_bin_0,0.05618458998256763
0.005,3,currency_2_dom_bin_0,0.009976907994388667
0.005,3,currency_3_dom_bin_0,-0.005382781494514252
0.005,3,currency_4_dom_bin_0,0.012219062645574048
0.005,3,currency_0_dom_bin_1,-0.033325839129040476
0.005,3,currency_1_dom_bin_1,-0.05302656795886199
0.005,3,currency_2_dom_bin_1,-0.028688965580108108
0.005,3,currency_3_dom_bin_1,-0.02691339276852211
0.005,3,currency_4_dom_bin_1,-0.05075080002111667
0.005,3,currency_0_dom_bin_2,-0.03774805821760758
0.005,3,currency_1_dom_bin_2,-0.031810069257226306
0.005,3,currency_2_dom_bin_2,0.010707012312266614
0.005,3,currency_3_dom_bin_2,0.03475309962393284
0.005,3,currency_4_dom_bin_2,0.050804563450954236
0.005,3,currency_0_dom_bin_3,0.034197213012818396
0.005,3,currency_1_dom_bin_3,0.012423403741175195
0.005,3,currency_2_dom_bin_3,0.03250331507406081
0.005,3,currency_3_dom_bin_3,0.027074867558502025
0.005,3,currency_4_dom_bin_3,-0.04668854434617279
0.005,5,currency_0,0.010009380242934329
0.005,5,currency_1,-0.029702426452220907
0.005,5,currency_2,0.0068841439110747795
0.005,5,currency_3,0.029341400013213368
0.005,5,currency_4,-0.016832758036105008
0.005,5,dow_0,0.0
0.005,5,dow_1,-0.031129340460086943
0.005,5,dow_2,0.04070933432897431
0.005,5,dow_3,-0.0037107469150966066
0.005,5,dow_4,-0.04221978252343554
0.005,5,dow_5,0.03449777924926398
0.005,5,dow_6,0.0015524959992785242
0.005,5,month_0,0.10953746748897869
0.005,5,month_1,0.13645038552825714
0.005,5,month_2,-0.02212824903901135
0.005,5,month_3,-0.09281486957722682
0.005,5,month_4,-0.14894847150944304
0.005,5,month_5,0.007349232819647753
0.005,5,month_6,0.11513712924569533
0.005,5,month_7,0.18454502630360115
0.005,5,month_8,-0.10491569288896671
0.005,5,month_9,-0.07852646168331645
0.005,5,month_10,-0.030059211346187362
0.005,5,month_11,-0.07592654566313034
0.005,5,dom_bin_0,0.07356820069261129
0.005,5,dom_bin_1,-0.16183055882690114
0.005,5,dom_bin_2,0.006358928466112866
0.005,5,dom_bin_3,0.08160316934707507
0.005,5,dow_sin,-0.002787427076236647
0.005,5,dow_cos,0.006205958472066381
0.005,5,dom_sin,-0.12264754301767326
0.005,5,dom_cos,0.08063802319561128
0.005,5,month_sin,-0.02796292852911726
0.005,5,month_cos,-0.01853142809148518
0.005,5,days_to_month_end,0.00243959010533814
0.005,5,month_end_3d,-0.08751301363176876
0.005,5,month_start_3d,0.11068993939155206
0.005,5,payday_exact,-0.08124291817801643
0.005,5,new_year_season,0.03361092182584807
0.005,5,quarter_end_5d,0.045648061796508446
0.005,5,currency_0_dow_0,0.0
0.005,5,currency_1_dow_0,0.0
0.005,5,currency_2_dow_0,0.0
0.005,5,currency_3_dow_0,0.0
0.005,5,currency_4_dow_0,0.0
0.005,5,currency_0_dow_1,-0.00025243534361750003
0.005,5,currency_1_dow_1,-0.0026861025802436475
0.005,5,currency_2_dow_1,-0.013176249312980028
0.005,5,currency_3_dow_1,0.0009884898624776062
0.005,5,currency_4_dow_1,-0.01600304308572338
0.005,5,currency_0_dow_2,0.023747848329122027
0.005,5,currency_1_dow_2,-0.010253577801833993
0.005,5,currency_2_dow_2,0.007676608750469411
0.005,5,currency_3_dow_2,0.017412391967687842
0.005,5,currency_4_dow_2,0.002126063083529087
0.005,5,currency_0_dow_3,-0.00614449934744004
0.005,5,currency_1_dow_3,-0.0040222627944537515
0.005,5,currency_2_dow_3,0.014052387052654805
0.005,5,currency_3_dow_3,-0.0014453851573886383
0.005,5,currency_4_dow_3,-0.006150986668468961
0.005,5,currency_0_dow_4,-0.021942271063428123
0.005,5,currency_1_dow_4,-0.01260377795168474
0.005,5,currency_2_dow_4,-0.012533760996352394
0.005,5,currency_3_dow_4,0.0012876728661525172
0.005,5,currency_4_dow_4,0.003572354621877031
0.005,5,currency_0_dow_5,0.022582637100874443
0.005,5,currency_1_dow_5,-0.007893247569522983
0.005,5,currency_2_dow_5,0.013678450652030202
0.005,5,currency_3_dow_5,0.008980525526840602
0.005,5,currency_4_dow_5,-0.0028505864609583292
0.005,5,currency_0_dow_6,-0.007981899432576356
0.005,5,currency_1_dow_6,0.00775654224551819
0.005,5,currency_2_dow_6,-0.0028132922347468155
0.005,5,currency_3_dow_6,0.0021177049474437257
0.005,5,currency_4_dow_6,0.0024734404736397645
0.005,5,currency_0_dom_bin_0,0.04025628971712632
0.005,5,currency_1_dom_bin_0,0.016432081750239854
0.005,5,currency_2_dom_bin_0,-0.0006147295989722437
0.005,5,currency_3_dom_bin_0,-0.01166574761406664
0.005,5,currency_4_dom_bin_0,0.029160306438283625
0.005,5,currency_0_dom_bin_1,-0.03424716757127934
0.005,5,currency_1_dom_bin_1,-0.04376774316115754
0.005,5,currency_2_dom_bin_1,-0.0034130428801728676
0.005,5,currency_3_dom_bin_1,-0.02111515701046009
0.005,5,currency_4_dom_bin_1,-0.059287448203831285
0.005,5,currency_0_dom_bin_2,-0.0368413761470852
0.005,5,currency_1_dom_bin_2,-0.03567603340479349
0.005,5,currency_2_dom_bin_2,-0.007544837775411474
0.005,5,currency_3_dom_bin_2,0.029513711043813888
0.005,5,currency_4_dom_bin_2,0.056907464749588896
0.005,5,currency_0_dom_bin_3,0.04084163424417254
0.005,5,currency_1_dom_bin_3,0.03330926836349005
0.005,5,currency_2_dom_bin_3,0.0184567541656318
0.005,5,currency_3_dom_bin_3,0.032608593593926614
0.005,5,currency_4_dom_bin_3,-0.0436130810201461
0.005,10,currency_0,-0.0006238988298810104
0.005,10,currency_1,-0.03734474531430075
0.005,10,currency_2,-0.003872655316168613
0.005,10,currency_3,0.04579312604084883
0.005,10,currency_4,-0.007886270894235681
0.005,10,dow_0,0.0
0.005,10,dow_1,-0.010714087384594147
0.005,10,dow_2,0.02279497781463221
0.005,10,dow_3,-0.020095110358745765
0.005,10,dow_4,-0.027549825194164965
0.005,10,dow_5,0.0479207107451906
0.005,10,dow_6,-0.01629110993605506
0.005,10,month_0,0.12405982940386179
0.005,10,month_1,0.17022829675031612
0.005,10,month_2,-0.03204550748352789
0.005,10,month_3,-0.1101641712337378
0.005,10,month_4,-0.1769737033449991
0.005,10,month_5,0.08597214744511654
0.005,10,month_6,0.12273606945271598
0.005,10,month_7,0.15840214647464165
0.005,10,month_8,-0.14230129762519425
0.005,10,month_9,-0.12319386745168555
0.005,10,month_10,-0.009030640572786377
0.005,10,month_11,-0.07162374612845744
0.005,10,dom_bin_0,0.07228631835754563
0.005,10,dom_bin_1,-0.1621641956525109
0.005,10,dom_bin_2,0.023971544556849293
0.005,10,dom_bin_3,0.06197188842437889
0.005,10,dow_sin,-0.016901006721067004
0.005,10,dow_cos,0.010353416814055093
0.005,10,dom_sin,-0.14753144947615732
0.005,10,dom_cos,0.04511899349564618
0.005,10,month_sin,0.04778207546614859
0.005,10,month_cos,0.014182887874758705
0.005,10,days_to_month_end,-0.004209896253571557
0.005,10,month_end_3d,-0.07929574221735644
0.005,10,month_start_3d,0.09232359738874421
0.005,10,payday_exact,-0.06968128693779684
0.005,10,new_year_season,0.052436083275404555
0.005,10,quarter_end_5d,0.050685044508442564
0.005,10,currency_0_dow_0,0.0
0.005,10,currency_1_dow_0,0.0
0.005,10,currency_2_dow_0,0.0
0.005,10,currency_3_dow_0,0.0
0.005,10,currency_4_dow_0,0.0
0.005,10,currency_0_dow_1,0.012761032588105506
0.005,10,currency_1_dow_1,-0.013101828245108908
0.005,10,currency_2_dow_1,-0.012146234588077029
0.005,10,currency_3_dow_1,0.012133057624149811
0.005,10,currency_4_dow_1,-0.010360114763663688
0.005,10,currency_0_dow_2,0.019200761475897648
0.005,10,currency_1_dow_2,0.010290712059368386
0.005,10,currency_2_dow_2,-0.009231784738561158
0.005,10,currency_3_dow_2,0.021759804338993313
0.005,10,currency_4_dow_2,-0.019224515321066043
0.005,10,currency_0_dow_3,0.0027908970221121716
0.005,10,currency_1_dow_3,-0.01851930878134673
0.005,10,currency_2_dow_3,0.005843866496428948
0.005,10,currency_3_dow_3,-0.006077429848775983
0.005,10,currency_4_dow_3,-0.004133135247164101
0.005,10,currency_0_dow_4,-0.028794705630945185
0.005,10,currency_1_dow_4,-0.014165921994154486
0.005,10,currency_2_dow_4,0.0019598130162949484
0.005,10,currency_3_dow_4,0.005649167010156908
0.005,10,currency_4_dow_4,0.007801822404482879
0.005,10,currency_0_dow_5,-0.00012508259477779819
0.005,10,currency_1_dow_5,-0.0009619171255965421
0.005,10,currency_2_dow_5,0.010779538624754231
0.005,10,currency_3_dow_5,0.013780406150880043
0.005,10,currency_4_dow_5,0.024447765689930668
0.005,10,currency_0_dow_6,-0.0064568016902736775
0.005,10,currency_1_dow_6,-0.0008864812274618557
0.005,10,currency_2_dow_6,-0.0010778541270085387
0.005,10,currency_3_dow_6,-0.0014518792345554173
0.005,10,currency_4_dow_6,-0.006418093656755596
0.005,10,currency_0_dom_bin_0,0.030907503105943052
0.005,10,currency_1_dom_bin_0,-0.009181640548542222
0.005,10,currency_2_dom_bin_0,0.012341452989887973
0.005,10,currency_3_dom_bin_0,0.013398378460291814
0.005,10,currency_4_dom_bin_0,0.024820624349965015
0.005,10,currency_0_dom_bin_1,-0.053614206988428885
0.005,10,currency_1_dom_bin_1,-0.040395746993726785
0.005,10,currency_2_dom_bin_1,-0.011978175181524322
0.005,10,currency_3_dom_bin_1,-0.024446364664407985
0.005,10,currency_4_dom_bin_1,-0.03172970182442297
0.005,10,currency_0_dom_bin_2,-0.024988708080534994
0.005,10,currency_1_dom_bin_2,-0.0244123583843556
0.005,10,currency_2_dom_bin_2,0.006050636326341727
0.005,10,currency_3_dom_bin_2,0.019505132007645067
0.005,10,currency_4_dom_bin_2,0.04781684268775313
0.005,10,currency_0_dom_bin_3,0.04707151313313957
0.005,10,currency_1_dom_bin_3,0.03664500061232429
0.005,10,currency_2_dom_bin_3,-0.010286569450873804
0.005,10,currency_3_dom_bin_3,0.037335980237319655
0.005,10,currency_4_dom_bin_3,-0.04879403610753087
0.005,20,currency_0,0.013203391752160176
0.005,20,currency_1,-0.0416175348462349
0.005,20,currency_2,-0.00019547733941869687
0.005,20,currency_3,0.05879644328485772
0.005,20,currency_4,-0.0321762347953064
0.005,20,dow_0,0.0
0.005,20,dow_1,-0.003145839029806435
0.005,20,dow_2,0.004235527030217209
0.005,20,dow_3,-0.013876581833826479
0.005,20,dow_4,-0.007982323237961875
0.005,20,dow_5,0.03665459978089965
0.005,20,dow_6,-0.017874794653463855
0.005,20,month_0,0.08327439778759073
0.005,20,month_1,0.1149606243537389
0.005,20,month_2,0.0008568001459498525
0.005,20,month_3,-0.12612850840986306
0.005,20,month_4,-0.1414599683387765
0.005,20,month_5,0.16180944854662954
0.005,20,month_6,0.1003992522128454
0.005,20,month_7,0.07139200017346324
0.005,20,month_8,-0.176293320035088
0.005,20,month_9,-0.06251172309473689
0.005,20,month_10,-0.0015202907701069958
0.005,20,month_11,-0.026768124515587927
0.005,20,dom_bin_0,0.049449609278222006
0.005,20,dom_bin_1,-0.10359820826015334
0.005,20,dom_bin_2,0.01741931427028655
0.005,20,dom_bin_3,0.034739872767702656
0.005,20,dow_sin,-0.02264811996229025
0.005,20,dow_cos,-0.0025108672233942744
0.005,20,dom_sin,-0.1254082461267072
0.005,20,dom_cos,0.02515069799771939
0.005,20,month_sin,0.08468150131610913
0.005,20,month_cos,0.01583861319572318
0.005,20,days_to_month_end,-0.001607177820675175
0.005,20,month_end_3d,-0.03500852744309579
0.005,20,month_start_3d,0.10516313038067636
0.005,20,payday_exact,-0.011018371514535493
0.005,20,new_year_season,0.056506273272002666
0.005,20,quarter_end_5d,0.0237797779974907
0.005,20,currency_0_dow_0,0.0
0.005,20,currency_1_dow_0,0.0
0.005,20,currency_2_dow_0,0.0
0.005,20,currency_3_dow_0,0.0
0.005,20,currency_4_dow_0,0.0
0.005,20,currency_0_dow_1,0.017865211934277956
0.005,20,currency_1_dow_1,-0.002367833712620311
0.005,20,currency_2_dow_1,-0.006436083079346275
0.005,20,currency_3_dow_1,0.007943805067479038
0.005,20,currency_4_dow_1,-0.02015093923959676
0.005,20,currency_0_dow_2,0.023207801832643454
0.005,20,currency_1_dow_2,-0.004476494478494031
0.005,20,currency_2_dow_2,-0.017272333645922358
0.005,20,currency_3_dow_2,0.02913259746694676
0.005,20,currency_4_dow_2,-0.026356044144956604
0.005,20,currency_0_dow_3,0.005519785347978417
0.005,20,currency_1_dow_3,-0.014046463184004123
0.005,20,currency_2_dow_3,0.002074716401137231
0.005,20,currency_3_dow_3,-0.0007085501972443981
0.005,20,currency_4_dow_3,-0.006716070201693676
0.005,20,currency_0_dow_4,-0.030223538149512463
0.005,20,currency_1_dow_4,-0.01656582024160941
0.005,20,currency_2_dow_4,0.01960309446668076
0.005,20,currency_3_dow_4,0.01631096099160479
0.005,20,currency_4_dow_4,0.0028929796948745493
0.005,20,currency_0_dow_5,0.0015221370104265954
0.005,20,currency_1_dow_5,-0.004977789987916756
0.005,20,currency_2_dow_5,0.006432606384690332
0.005,20,currency_3_dow_5,0.011056019686781748
0.005,20,currency_4_dow_5,0.022621626686917806
0.005,20,currency_0_dow_6,-0.004688006223653803
0.005,20,currency_1_dow_6,0.0008168667584098074
0.005,20,currency_2_dow_6,-0.0045974778666581055
0.005,20,currency_3_dow_6,-0.00493838973071006
0.005,20,currency_4_dow_6,-0.00446778759085173
0.005,20,currency_0_dom_bin_0,0.028221217130004417
0.005,20,currency_1_dom_bin_0,-0.024535510623987494
0.005,20,currency_2_dom_bin_0,0.00664239388539395
0.005,20,currency_3_dom_bin_0,0.004974361867448253
0.005,20,currency_4_dom_bin_0,0.034147147019362736
0.005,20,currency_0_dom_bin_1,-0.04741659595700747
0.005,20,currency_1_dom_bin_1,-0.006908771908154437
0.005,20,currency_2_dom_bin_1,0.005191161632074124
0.005,20,currency_3_dom_bin_1,-0.011340611492266284
0.005,20,currency_4_dom_bin_1,-0.04312339053479918
0.005,20,currency_0_dom_bin_2,-0.021634051629393098
0.005,20,currency_1_dom_bin_2,-0.011588239095234643
0.005,20,currency_2_dom_bin_2,-0.006647396513239469
0.005,20,currency_3_dom_bin_2,0.016731775656703914
0.005,20,currency_4_dom_bin_2,0.04055722585144999
0.005,20,currency_0_dom_bin_3,0.05403282220855643
0.005,20,currency_1_dom_bin_3,0.0014149867811417425
0.005,20,currency_2_dom_bin_3,-0.005381636343647018
0.005,20,currency_3_dom_bin_3,0.04843091725297206
0.005,20,currency_4_dom_bin_3,-0.06375721713131978
0.02,1,currency_0,0.015194752469441908
0.02,1,currency_1,-0.026662854216693076
0.02,1,currency_2,0.03217333639765831
0.02,1,currency_3,0.038300192417313805
0.02,1,currency_4,-0.021495236121729322
0.02,1,dow_0,0.0
0.02,1,dow_1,-0.06055231138806716
0.02,1,dow_2,0.10302490231757123
0.02,1,dow_3,-0.04142823212965779
0.02,1,dow_4,-0.027168199261261843
0.02,1,dow_5,0.04697431427473897
0.02,1,dow_6,0.016659717132668773
0.02,1,month_0,0.07629134204262174
0.02,1,month_1,0.12590498288377222
0.02,1,month_2,-0.022691724205014873
0.02,1,month_3,-0.04197056499789044
0.02,1,month_4,-0.10765438866448215
0.02,1,month_5,-0.057798228622551164
0.02,1,month_6,0.1113295322528043
0.02,1,month_7,0.21727034584611143
0.02,1,month_8,-0.12294273867619361
0.02,1,month_9,-0.10561769721960759
0.02,1,month_10,0.038614882527522196
0.02,1,month_11,-0.07322555222109926
0.02,1,dom_bin_0,0.05969029834371989
0.02,1,dom_bin_1,-0.14932822129558895
0.02,1,dom_bin_2,0.13559829860602124
0.02,1,dom_bin_3,-0.008450184708160103
0.02,1,dow_sin,-0.01190871028488145
0.02,1,dow_cos,0.0010586976351536935
0.02,1,dom_sin,0.03968713680377426
0.02,1,dom_cos,0.14326858975419532
0.02,1,month_sin,-0.014174866102996292
0.02,1,month_cos,-0.004263225218763729
0.02,1,days_to_month_end,-0.00907295514048652
0.02,1,month_end_3d,-0.18168035784468622
0.02,1,month_start_3d,0.29239495356411105
0.02,1,payday_exact,-0.06198010740347212
0.02,1,new_year_season,0.003065789821522466
0.02,1,quarter_end_5d,0.06410611097631123
0.02,1,currency_0_dow_0,0.0
0.02,1,currency_1_dow_0,0.0
0.02,1,currency_2_dow_0,0.0
0.02,1,currency_3_dow_0,0.0
0.02,1,currency_4_dow_0,0.0
0.02,1,currency_0_dow_1,0.004735339536537017
0.02,1,currency_1_dow_1,-0.11110578395450389
0.02,1,currency_2_dow_1,-0.00582530078062761
0.02,1,currency_3_dow_1,0.024433874063443172
0.02,1,currency_4_dow_1,0.02720955974708445
0.02,1,currency_0_dow_2,0.02861772083535172
0.02,1,currency_1_dow_2,0.04525856545325919
0.02,1,currency_2_dow_2,0.017584565460058897
0.02,1,currency_3_dow_2,0.04673205532649398
0.02,1,currency_4_dow_2,-0.035168004757592644
0.02,1,currency_0_dow_3,0.0075213878544322195
0.02,1,currency_1_dow_3,0.031038091061263588
0.02,1,currency_2_dow_3,0.009800530452825482
0.02,1,currency_3_dow_3,-0.021008765876022455
0.02,1,currency_4_dow_3,-0.06877947562215653
0.02,1,currency_0_dow_4,-0.034487444937016505
0.02,1,currency_1_dow_4,0.054796857790397446
0.02,1,currency_2_dow_4,0.0070533154762293096
0.02,1,currency_3_dow_4,0.015939287090073674
0.02,1,currency_4_dow_4,-0.07047021468094576
0.02,1,currency_0_dow_5,0.029594224057342782
0.02,1,currency_1_dow_5,-0.047463472844356314
0.02,1,currency_2_dow_5,0.00511816645672267
0.02,1,currency_3_dow_5,-0.0259851584142502
0.02,1,currency_4_dow_5,0.08571055501927972
0.02,1,currency_0_dow_6,-0.020786474877205637
0.02,1,currency_1_dow_6,0.0008128882772475804
0.02,1,currency_2_dow_6,-0.0015579406675502818
0.02,1,currency_3_dow_6,-0.0018110997724247416
0.02,1,currency_4_dow_6,0.04000234417260187
0.02,1,currency_0_dom_bin_0,0.011968941866760527
0.02,1,currency_1_dom_bin_0,0.03952219691320888
0.02,1,currency_2_dom_bin_0,0.02018856229516493
0.02,1,currency_3_dom_bin_0,0.009160540926707145
0.02,1,currency_4_dom_bin_0,-0.021149943658121492
0.02,1,currency_0_dom_bin_1,-0.042720658218127386
0.02,1,currency_1_dom_bin_1,-0.04013329016869733
0.02,1,currency_2_dom_bin_1,-0.02887492771268438
0.02,1,currency_3_dom_bin_1,-0.020738731520638414
0.02,1,currency_4_dom_bin_1,-0.01686061367544116
0.02,1,currency_0_dom_bin_2,-0.011823776432158062
0.02,1,currency_1_dom_bin_2,-0.038341221736485485
0.02,1,currency_2_dom_bin_2,0.02925261200420486
0.02,1,currency_3_dom_bin_2,0.053359172813448444
0.02,1,currency_4_dom_bin_2,0.1031515119570115
0.02,1,currency_0_dom_bin_3,0.0577702452529666
0.02,1,currency_1_dom_bin_3,0.012289460775281633
0.02,1,currency_2_dom_bin_3,0.011607089810973184
0.02,1,currency_3_dom_bin_3,-0.0034807898022036422
0.02,1,currency_4_dom_bin_3,-0.08663619074517788
0.02,3,currency_0,-0.006632695111503649
0.02,3,currency_1,-0.01824067928212257
0.02,3,currency_2,0.02949065056577018
0.02,3,currency_3,0.03567327922912943
0.02,3,currency_4,-0.04064114269774302
0.02,3,dow_0,0.0
0.02,3,dow_1,-0.02404428646017448
0.02,3,dow_2,0.03629672905781793
0.02,3,dow_3,-0.033700145127941845
0.02,3,dow_4,-0.02289033791083261
0.02,3,dow_5,0.04111306039554888
0.02,3,dow_6,0.0028743927491168904
0.02,3,month_0,0.13272285683274074
0.02,3,month_1,0.2095594330565968
0.02,3,month_2,-0.025509474155485996
