model,period,h,n,brier,mean_probability,event_rate
quarter_fine_partial,later,5,3260,0.1851618063727428,0.2867176057019781,0.294478527607362
quarter_fine_partial,later,10,3235,0.17229321267064315,0.1914177467314565,0.22812982998454404
quarter_fine_partial,later,20,3185,0.14344267032589272,0.1013425142614523,0.16577708006279435
month_direct_full20,early,5,1135,0.21841179443602315,0.3263508940071193,0.3894273127753304
month_direct_full20,later,5,3260,0.1880556583006165,0.2934484264659488,0.294478527607362
month_direct_mature5,early,5,1135,0.21217562197175935,0.3171833040585662,0.3894273127753304
month_direct_mature5,later,5,3260,0.18829386644753657,0.28552061616710944,0.294478527607362
month_coarse_full20,early,1,1135,0.20070442576221384,0.5935194609858382,0.5744493392070484
month_coarse_full20,early,3,1135,0.215753904820434,0.4415954254610973,0.45198237885462555
month_coarse_full20,early,5,1135,0.21683273328718253,0.3636961863684056,0.3894273127753304
month_coarse_full20,early,10,1135,0.21391458568408525,0.28776028003618714,0.31541850220264317
month_coarse_full20,early,20,1135,0.21230835457796493,0.21463656877952697,0.2669603524229075
month_coarse_full20,later,1,3280,0.1936147289353593,0.5023209090460362,0.5161585365853658
month_coarse_full20,later,3,3270,0.19390206888686704,0.34234137700709877,0.354434250764526
month_coarse_full20,later,5,3260,0.18687216874698273,0.26566078579166186,0.294478527607362
month_coarse_full20,later,10,3235,0.17064195522665518,0.18749233469491036,0.22812982998454404
month_coarse_full20,later,20,3185,0.13835054732671978,0.12752298067577866,0.16577708006279435
month_coarse_partial,early,1,1135,0.19403865643049925,0.6101885282380413,0.5744493392070484
month_coarse_partial,early,3,1135,0.20402748219390762,0.45323672467362536,0.45198237885462555
month_coarse_partial,early,5,1135,0.20396827782842686,0.3694249771409258,0.3894273127753304
month_coarse_partial,early,10,1135,0.192295742929826,0.2900986967368763,0.31541850220264317
month_coarse_partial,early,20,1135,0.19394746588912734,0.21146821055593093,0.2669603524229075
month_coarse_partial,later,1,3280,0.1941657240325738,0.4992588959176217,0.5161585365853658
month_coarse_partial,later,3,3270,0.1898460006554067,0.33498446143617877,0.354434250764526
month_coarse_partial,later,5,3260,0.18223605366250936,0.258846494734195,0.294478527607362
month_coarse_partial,later,10,3235,0.1665713067163224,0.179995091344384,0.22812982998454404
month_coarse_partial,later,20,3185,0.13647113375945427,0.12009860396849587,0.16577708006279435
month_fine_full20,early,1,1135,0.19708997735158687,0.5827501473567616,0.5744493392070484
month_fine_full20,early,3,1135,0.21964861346981213,0.46032112662295477,0.45198237885462555
month_fine_full20,early,5,1135,0.22430218847692582,0.39865575429379524,0.3894273127753304
month_fine_full20,early,10,1135,0.2167464821011393,0.3067016816354938,0.31541850220264317
month_fine_full20,early,20,1135,0.206723141003456,0.20957680886634833,0.2669603524229075
month_fine_full20,later,1,3280,0.1915897933024096,0.5027959742772137,0.5161585365853658
month_fine_full20,later,3,3270,0.19355920995291226,0.34977615987966454,0.354434250764526
