origin,cadence,kind,endpoint,n_risk,positive_labels,n_recent_records
2022-10-01,month,fine_full20,14,130,4,0
2022-10-01,month,fine_full20,15,126,5,0
2022-10-01,month,fine_full20,16,121,9,0
2022-10-01,month,fine_full20,17,112,5,0
2022-10-01,month,fine_full20,18,107,3,0
2022-10-01,month,fine_full20,19,104,3,0
2022-10-01,month,fine_full20,20,101,1,0
2022-10-01,month,fine_partial,1,900,484,95
2022-10-01,month,fine_partial,2,411,94,38
2022-10-01,month,fine_partial,3,312,53,18
2022-10-01,month,fine_partial,4,257,16,14
2022-10-01,month,fine_partial,5,241,29,13
2022-10-01,month,fine_partial,6,212,16,7
2022-10-01,month,fine_partial,7,196,14,4
2022-10-01,month,fine_partial,8,182,10,2
2022-10-01,month,fine_partial,9,172,6,0
2022-10-01,month,fine_partial,10,166,9,0
2022-10-01,month,fine_partial,11,157,11,0
2022-10-01,month,fine_partial,12,146,8,0
2022-10-01,month,fine_partial,13,138,8,0
2022-10-01,month,fine_partial,14,130,4,0
2022-10-01,month,fine_partial,15,126,5,0
2022-10-01,month,fine_partial,16,121,9,0
2022-10-01,month,fine_partial,17,112,5,0
2022-10-01,month,fine_partial,18,107,3,0
2022-10-01,month,fine_partial,19,104,3,0
2022-10-01,month,fine_partial,20,101,1,0
2022-11-01,month,direct_full20,5,915,217,0
2022-11-01,month,direct_mature5,5,990,244,75
2022-11-01,month,coarse_full20,1,915,494,0
2022-11-01,month,coarse_full20,3,421,155,0
2022-11-01,month,coarse_full20,5,266,49,0
2022-11-01,month,coarse_full20,10,217,55,0
2022-11-01,month,coarse_full20,20,162,57,0
2022-11-01,month,coarse_partial,1,1010,536,95
2022-11-01,month,coarse_partial,3,468,162,47
2022-11-01,month,coarse_partial,5,299,55,33
2022-11-01,month,coarse_partial,10,242,60,25
2022-11-01,month,coarse_partial,20,162,57,0
2022-11-01,month,fine_full20,1,915,494,0
2022-11-01,month,fine_full20,2,421,99,0
2022-11-01,month,fine_full20,3,322,56,0
2022-11-01,month,fine_full20,4,266,19,0
2022-11-01,month,fine_full20,5,247,30,0
2022-11-01,month,fine_full20,6,217,16,0
2022-11-01,month,fine_full20,7,201,14,0
2022-11-01,month,fine_full20,8,187,10,0
2022-11-01,month,fine_full20,9,177,6,0
2022-11-01,month,fine_full20,10,171,9,0
2022-11-01,month,fine_full20,11,162,11,0
2022-11-01,month,fine_full20,12,151,8,0
2022-11-01,month,fine_full20,13,143,8,0
2022-11-01,month,fine_full20,14,135,4,0
2022-11-01,month,fine_full20,15,131,5,0
2022-11-01,month,fine_full20,16,126,9,0
2022-11-01,month,fine_full20,17,117,5,0
2022-11-01,month,fine_full20,18,112,3,0
2022-11-01,month,fine_full20,19,109,3,0
2022-11-01,month,fine_full20,20,106,1,0
2022-11-01,month,fine_partial,1,1010,536,95
2022-11-01,month,fine_partial,2,470,104,49
2022-11-01,month,fine_partial,3,364,58,42
2022-11-01,month,fine_partial,4,303,21,37
2022-11-01,month,fine_partial,5,278,34,31
2022-11-01,month,fine_partial,6,242,18,25
2022-11-01,month,fine_partial,7,224,15,23
2022-11-01,month,fine_partial,8,209,11,22
2022-11-01,month,fine_partial,9,198,6,21
2022-11-01,month,fine_partial,10,192,10,21
2022-11-01,month,fine_partial,11,182,11,20
2022-11-01,month,fine_partial,12,171,8,20
2022-11-01,month,fine_partial,13,163,8,20
2022-11-01,month,fine_partial,14,155,4,20
2022-11-01,month,fine_partial,15,151,5,20
2022-11-01,month,fine_partial,16,145,9,19
2022-11-01,month,fine_partial,17,132,6,15
2022-11-01,month,fine_partial,18,122,3,10
2022-11-01,month,fine_partial,19,114,3,5
2022-11-01,month,fine_partial,20,106,1,0
2022-12-01,month,direct_full20,5,1015,256,0
2022-12-01,month,direct_mature5,5,1090,271,75
2022-12-01,month,coarse_full20,1,1015,538,0
2022-12-01,month,coarse_full20,3,477,166,0
2022-12-01,month,coarse_full20,5,311,55,0
2022-12-01,month,coarse_full20,10,256,66,0
2022-12-01,month,coarse_full20,20,190,65,0
2022-12-01,month,coarse_partial,1,1110,585,95
2022-12-01,month,coarse_partial,3,516,185,39
2022-12-01,month,coarse_partial,5,331,60,20
2022-12-01,month,coarse_partial,10,263,68,7
2022-12-01,month,coarse_partial,20,190,65,0
2022-12-01,month,fine_full20,1,1015,538,0
2022-12-01,month,fine_full20,2,477,107,0
2022-12-01,month,fine_full20,3,370,59,0
2022-12-01,month,fine_full20,4,311,21,0
2022-12-01,month,fine_full20,5,290,34,0
2022-12-01,month,fine_full20,6,256,20,0
2022-12-01,month,fine_full20,7,236,15,0
2022-12-01,month,fine_full20,8,221,12,0
2022-12-01,month,fine_full20,9,209,6,0
2022-12-01,month,fine_full20,10,203,13,0
2022-12-01,month,fine_full20,11,190,14,0
2022-12-01,month,fine_full20,12,176,10,0
2022-12-01,month,fine_full20,13,166,10,0
2022-12-01,month,fine_full20,14,156,4,0
2022-12-01,month,fine_full20,15,152,5,0
2022-12-01,month,fine_full20,16,147,9,0
2022-12-01,month,fine_full20,17,138,6,0
2022-12-01,month,fine_full20,18,132,3,0
2022-12-01,month,fine_full20,19,129,3,0
2022-12-01,month,fine_full20,20,126,1,0
2022-12-01,month,fine_partial,1,1110,585,95
2022-12-01,month,fine_partial,2,520,117,43
2022-12-01,month,fine_partial,3,399,68,29
2022-12-01,month,fine_partial,4,331,26,20
2022-12-01,month,fine_partial,5,305,34,15
2022-12-01,month,fine_partial,6,271,20,15
2022-12-01,month,fine_partial,7,249,16,13
